User Input,Chatbot Response,Timestamp
Hello,Greetings! How can I assist?,2024-12-07 15:51:48
What are the benefits of regular exercise?,Staying active keeps your body and mind healthy. Aim for at least 30 minutes daily.,2024-12-07 15:53:14
What are common allergy symptoms?,"Avoid allergens, use antihistamines, and consult an allergist for severe cases.",2024-12-07 15:54:43
What causes headaches?,"If headaches persist, consult a healthcare professional for further evaluation.",2024-12-07 15:56:26
How much sleep do I need?,Maintain a consistent sleep schedule and avoid screens before bedtime.,2024-12-07 15:58:51
Why are vaccinations important?,Consult your doctor for a vaccination schedule suitable for your age and needs.,2024-12-07 16:00:51
What is arthritis?,Arthritis is inflammation of the joints causing pain and stiffness.,2024-12-07 16:03:09
Tips to prevent colds,Prevent colds by washing hands frequently and avoiding close contact with sick individuals.,2024-12-07 16:06:22
Post-surgery recovery tips,Avoid heavy lifting and strenuous activities during your recovery period.,2024-12-07 16:24:25
hello,Hi there! What can I help with?,2024-12-07 18:02:14
good evening,Hello! How can I assist you today?,2024-12-07 18:02:29
Hello,Greetings! How can I assist?,2024-12-08 15:26:12
Good Evening,Hello! How can I assist you today?,2024-12-08 15:26:25
Hello,Hello! How can I assist you today?,2024-12-08 15:42:56
